语音,说话人性别,句式,文本有无语气词,情绪起伏大,严肃(工作事务性)/玩笑,批判（反对）/推荐（赞同）,讽刺/赞赏,音量大小
嗯？你怎么回来了？,女,疑问句,有,正常,,,,
噢，没有啊， 我刚刚跟老师说我要去上厕所，然后他说我可以上厕所。,男,肯定句,有,正常,,,,
所以呢？,女,反问句,有,起伏大,,,,
可是我没有跟他说我要去哪一件厕所，所以我回家了。,男,肯定句,无,起伏大,,,,
丂鋇哦，哈哈哈,女,肯定句,有,起伏大,,,,
我先去上厕所哦，等一下。,男,祈使句,有,正常,,,,
干,女,肯定句,无,起伏大,,,,
啊，好爽。,男,肯定句,有,正常,,,赞赏,变大
我刚刚就讲我要上厕所嘛，他自己答应的。诶我刚刚看到一个东西哦。,男,肯定句,有,起伏大,,,,正常
什么东西？,女,疑问句,无,正常,,,,正常
我问你一个问题。,男,肯定句,无,正常,,,,正常
恩。,女,肯定句,无,正常,,,,正常
你知道蝙蝠侠的配音员，和布鲁斯韦恩的配音员是同一个人吗？,男,疑问句,有,起伏大,,,,正常
是吗？,女,疑问句,有,正常,,,,正常
哈哈哈哈哈……你没看过蝙蝠侠？ 蝙蝠侠就是布鲁斯韦恩啊，笨蛋。,男,反问句,有,起伏大,,,,变大
丂鋇哦,女,肯定句,有,起伏大,,,,正常
诶，我突然想到，我之前跟导演出去的时候，那个导演给我讲了一个笑话。,男,肯定句,无,起伏大,,,,正常
他说什么？,女,疑问句,无,正常,,,,正常
他说，他之前跟他朋友就是做那个网拍，然后他们网拍就卖很多东西。,男,肯定句,无,正常,,,,正常
搞诈骗哦?,女,疑问句,有,正常,,,,正常
没有!正常就是卖什么电器之类的，然后因为他们刚开始做，就会很好会去帮他们安装。然后，结果他们卖得比较稳定之后就卖nudebra。,女,否定句,无,起伏大,,,,变大
啊？,男,疑问句,有,起伏大,,,,正常
nudebra 隐形胸罩。,女,肯定句,有,起伏大,,,,正常
哦好。,男,肯定句,有,正常,,,,正常
他们卖nudebra。,女,肯定句,无,正常,,,,正常
可能你没有在用，我不知道是什么东西。,男,否定句,无,正常,,,,正常
他们卖nudebra，然后有一个女生有买，然后就问他们有售后服务吗，然后你猜导演说什么？,男,疑问句,无,起伏大,,,,正常
没有啊。,女,否定句,有,正常,,,,正常
导演跟她说，不好意思我们没有售后服务，不过我可以帮你安装。,男,肯定句,无,正常,,,,变大
所以后来,女,疑问句,无,正常,,,,正常
没有后来啊。,男,否定句,有,正常,,,,正常
没有后来？啧。,女,疑问句,有,起伏大,,,,正常
