语音,valence,arousal,说话人性别,句式,文本有无语气词,单句情绪起伏,严肃(工作事务性)/玩笑,推荐（赞同）/批判（反对）,讽刺/赞赏,音量大小
就聊天。,,,男,肯定句,无,正常,,,,正常
聊啊，你要讲什么？,,,女,疑问句,有,正常,,,,正常
都可以啊。,,,男,肯定句,有,正常,,,,正常
emm……,,,女,肯定句,有,正常,,,,变小
你最近都在干嘛。,,,男,疑问句,有,正常,,,,变大
忙期末啊。,,,女,肯定句,有,正常,,,,正常
还有呢,,,男,疑问句,有,正常,,,,正常
还有实验记载。,,,女,肯定句,无,正常,,,,正常
还要怎样。,,,男,疑问句,无,正常,,,,正常
还好啊。,,,女,肯定句,有,正常,,,,正常
我最近都好累啊。,,,男,肯定句,有,正常,,,,变大
为什么。,,,女,疑问句,无,正常,,,,正常
不知道，就好累啊，我每天都在沙发上不知道要做什么。,,,男,否定句,有,正常,,,,正常
那你什么时候回台中。,,,女,疑问句,无,起伏大,,,,正常
投票的时候回去啊，然后就回来。,,,男,肯定句,有,正常,,,,正常
回来？,,,女,疑问句,无,起伏大,,,,变大
嗯。,,,男,肯定句,无,正常,,,,正常
你还回台北？,,,女,疑问句,无,起伏大,,,,正常
因为要做舞台啊。,,,男,肯定句,有,正常,,,,正常
哦对哦。,,,女,肯定句,有,正常,,,,正常
你有想过什么时候要结婚吗？,,,男,疑问句,有,正常,,,,正常
结婚？,,,女,疑问句,无,起伏大,,,,变大
对啊。,,,男,肯定句,有,正常,,,,正常
应该要28、29、30吧。,,,女,肯定句,有,正常,,,,正常
应该是28、30、或35吧。,,,男,肯定句,有,正常,,,,正常
嘿嘿嘿，为什么？,,,女,疑问句,有,起伏大,,,,变大
因为我很喜欢这三个年纪啊。,,,男,肯定句,有,正常,玩笑,,赞赏,正常
那你要有对象啊。,,,女,祈使句,有,正常,,,,正常
没有对象我找朋友，然后跟他说你可以嫁给我吗？,,,男,疑问句,有,正常,玩笑,,,正常
找朋友问？,,,女,疑问句,无,起伏大,,,,变大
对啊，就是问朋友啊，我每个时期都会问我的女生好朋友，你28、30、35的时候有空吗？,,,男,肯定句,有,正常,玩笑,,,正常
可是你又不喜欢人家，干嘛跟人家结婚。,,,女,否定句,无,起伏大,,批判,,变大
没有啊，这不是喜不喜欢的问题，就是两个人都很孤单需要被照顾，互相照顾。,,,男,否定句,无,正常,,,,正常
那你就请菲佣就好了啊，干嘛找朋友。,,,女,反问句,有,起伏大,,,讽刺,正常
那不一样。,,,男,否定句,无,起伏大,,,,正常
可是你又不喜欢人家你们干嘛结婚，那跟菲佣有什么两样。,,,女,反问句,有,起伏大,,批判,,正常
我们是好朋友啊。,,,男,肯定句,有,起伏大,,,,正常
那你跟菲佣也可以变好朋友啊。,,,女,肯定句,有,起伏大,,,讽刺,正常
我不想跟菲佣变好朋友啊。,,,男,否定句,有,起伏大,,,,正常
好怪，这是什么逻辑啊。,,,女,疑问句,有,正常,,,,正常
你现在不懂你以后就会懂了。,,,男,否定句,无,起伏大,,,,正常
不会，我也不会想要和朋友啊，你又不喜欢人家干嘛想要结婚。,,,女,否定句,无,起伏大,,批判,,正常
不一样的反正你以后就懂了，我现在跟你讲那么多你也不会懂的。我最近屁股很痛。,,,男,否定句,无,正常,,,,变大
是哦。,,,女,肯定句,有,正常,,,讽刺,正常
我昨天撞到桌子。,,,男,肯定句,无,正常,,,,正常
为什么撞到桌子？,,,女,疑问句,无,正常,,,,正常
就往后坐的时候擦到桌子角啊。,,,男,肯定句,有,正常,,,,正常
哦，你真的很需要人家照顾，这样也可以撞到。,,,女,肯定句,有,正常,玩笑,,讽刺,正常
然后我觉得我尾椎好像歪掉了，我觉我明天要看中医，因为我现在一坐下来屁股就会痛唉。,,,男,肯定句,无,正常,,,,正常
你这个人毛病很多唉。,,,女,肯定句,有,起伏大,,批判,,变大
我也不想啊，就一下又受伤啊，就一堆意外，我腰好不容易好了。养了两年好不容易好了。,,,男,否定句,无,正常,,,,变小
你肚子饿吗？,,,男,疑问句,有,正常,,,,正常
