deepMoji,valence,arousal,FuMoji,valence,arousal,语音,说话人性别,句式,有无语气词,单句情绪起伏,严肃(工作事务性)/玩笑,批判（反对）/推荐（赞同）,讽刺/赞赏,音量大小
我觉得世上有很多很特别的人☺。,,,我觉得世上有很多很特别的人🎧。,,,我觉得世上有很多很特别的人,女,肯定句,无,正常,,,讽刺,正常
这年头吓人特别多😳。,,,这年头吓人特别多😐。,,,这年头吓人特别多,女,肯定句,无,正常,,,,正常
对啊👊。,,,对啊👊。,,,对啊,女,肯定句,有,正常,,,,正常
不过这也是乐趣啊😄，心情不好时候看一看就好笑🤚。,,,不过这也是乐趣啊👊，心情不好时候看一看就好笑😒。,,,不过这也是乐趣啊，心情不好时候看一看就好笑,女,肯定句,有,起伏大,,,,正常
是啊，当那个每日早上新闻来看😓。,,,是啊，当那个每日早上新闻来看😓。,,,是啊，当那个每日早上新闻来看,女,肯定句,有,起伏大,,,,正常
回到家最舒服的时光就是洗完澡躺在床上听音乐再配上熏香精油😌，配上自制的枸杞菊花红枣茶😋，天哪好享受唉🙏，去谈恋爱喽♥，大家晚安😴。还tag👀，tag在哪里👀，,,,回到家最舒服的时光就是洗完澡躺在床上听音乐再配上熏香精油😐，配上自制的枸杞菊花红枣茶👀，天哪好享受唉🤚，去谈恋爱喽🎧，大家晚安😴。还tag😕，tag在哪里😕，,,,回到家最舒服的时光就是洗完澡躺在床上听音乐再配上熏香精油，配上自制的枸杞菊花红枣茶，天哪好享受唉，去谈恋爱喽，大家晚安。还tag，tag在哪里，你不知道的事,女,肯定句,无,起伏大,,,讽刺,变大
我觉得她也蛮厉害😏，就是偷照片还要打出这样的文字需要费点心😋。,,,我觉得她也蛮厉害💙，就是偷照片还要打出这样的文字需要费点心🙊。,,,我觉得她也蛮厉害，就是偷照片还要打出这样的文字需要费点心。,女,肯定句,无,正常,,,讽刺,变大
唉😪，干嘛😔。,,,唉🔫，干嘛。😒,,,唉，干嘛,女,疑问句,有,正常,,,,正常
会不会是现世报之类的😕，好了开玩笑了😅。,,,会不会是现世报之类的😥，好了开玩笑了😒。,,,会不会是现世报之类的，好了开玩笑了,女,肯定句,无,起伏大,,,,正常
喂你要去哪👀。,,,喂你要去哪🙅。,,,喂你要去哪,女,疑问句,无,正常,,,,正常
去忏悔啦💔。,,,去忏悔啦💔。,,,去忏悔啦,女,肯定句,有,起伏大,,,,变大
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,变大
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,变大
,,,,,,,,,,,,,,变小
