文本内容:07,说话人性别,句式,文本有无语气词,单句情绪起伏,严肃(工作事务性)/玩笑,批判（反对）/推荐（赞同）,讽刺/赞赏,音量大小
啊好饿哦,女,肯定句,有,正常,,,,正常
宵夜你吃过了吗,女,疑问句,有,正常,,,,正常
还没啊,女,否定句,有,正常,,,,正常
那你有想吃什么宵夜吗，,女,疑问句,有,正常,,,,正常
你觉得吃什么好,女,疑问句,无,正常,,,,正常
嗯，我想一下哦，就平常不是都吃玉明街吗,女,疑问句,有,正常,,,,正常
玉明街吃什么？流氓鸡排吗？,女,疑问句,有,正常,,,,正常
对啊，然后通常芬利都会买一个鸡排,女,肯定句,有,起伏大,,,,变大
还有一个甜不辣,女,肯定句,无,正常,,,,正常
对对然后还有四季豆，四季豆还可以买一送一,女,肯定句,无,起伏大,,,赞赏,正常
他为什么可以四季豆买一送一,女,疑问句,无,正常,,,,正常
不知道为什么，那一家就是，,女,否定句,无,正常,,,,正常
特爱他,女,肯定句,无,正常,,,赞赏,变大
对然后都买一送一，而且你知道那个卖甜不辣的老板都说他很久没有看到你他很想你,女,肯定句,无,起伏大,,,,正常
你说我本人吗,女,疑问句,有,正常,,,,正常
对啊，是你啊,女,肯定句,有,起伏大,,,,正常
是我？,女,疑问句,无,起伏大,,,,正常
对啊,女,肯定句,有,正常,,,,正常
好，算了啦不要再这样，好了，还好还好,女,祈使句,有,正常,,,,正常
还有，我想一下。最近麦当劳有优惠啊，麦当劳现在有一个优惠券，它可以四个东西一百块，就是有，饮料一杯，可是是中杯的，还有一个汉堡，四个鸡块，还有一个苹果派，这样子一百块,女,肯定句,有,正常,,,,正常
那很便宜唉，你是不是想要吃麦当劳了？你点,女,疑问句,有,起伏大,,,,正常
那我想一下，之前会去吃口軒瓶啊，有一次跟盛文，一起去吃,女,肯定句,有,正常,,,,正常
可是口軒瓶的东西经常都會有一股背包味道，然后把它找出來，就是很臭,女,肯定句,无,起伏大,,,,变大
哈哈哈，我想一下还有什么，不然就去吃铁板烧啊，芬利每次都是吃的超多,女,肯定句,有,正常,,,,正常
粉红色的吗？,女,疑问句,有,正常,,,,正常
就是你们全部人站起来要走了之后，他还就说,女,肯定句,无,正常,,,,正常
再带一碗汤,女,祈使句,无,起伏大,,,,变大
哈哈哈,女,肯定句,有,起伏大,,,,正常
就是吃了快一个小时,女,肯定句,无,正常,,,,正常
就喝到世界末日,女,肯定句,无,起伏大,,,,正常
我想一下还有什么，那你吃过那个吗就是小笼包，就是转角的那一家,女,疑问句,有,正常,,,,正常
啊，有啊，然后,女,肯定句,有,正常,,,,正常
你觉得好吃吗，还是你今天要吃那个,女,疑问句,有,正常,,,,正常
你可以带凌平去他的店点很雷的东西给你吃,女,肯定句,无,正常,,,,正常
他超生气的，他说那个小笼包全都破掉,女,肯定句,无,起伏大,,,,正常
他超生气，然后他气到不行，跟他一起去的人就是我，哈哈,女,肯定句,有,起伏大,,,,变大
那他有怎样吗，他就是很生气然后就走了是么,女,疑问句,有,正常,,,,正常
他就说我就是一个雷人，以后都不要再跟我一起吃东西,女,肯定句,无,正常,,,,正常
然后凌平还会吃高雄五味，有一次我就跟他去买，我就跟老板说，那个你这边你常常一个人你需要有人陪吗，哈哈哈。他说你很奇怪哎你干嘛这么跟老板讲话，还有他会去吃关东煮，你知道吗,女,肯定句,无,起伏大,,,,正常
哦，我知道那家关东煮,女,肯定句,无,正常,,,,正常
你觉得好吃吗,女,疑问句,有,正常,,,,正常
我觉得还可以,女,肯定句,无,正常,,,赞赏,正常
很贵啊我觉得,女,肯定句,有,起伏大,,,,变大
那我昨天不在你们吃什么,女,疑问句,无,起伏大,,,,变大
我们昨天吃大福买四送四，然后我们就有八包薯条，我们就堆了个薯条山，然后有四个人一起吃，最后大家都阵亡了，只剩下芬利一个人全部都吃完,女,肯定句,无,起伏大,,,,正常
